t,Fx,Fy,Fz,Tx,Ty,Tz
1788794211.528601,0.00277,0.02097,-0.66209,-0.00034,-0.00044,5e-05
1788794211.548926,-0.00187,0.0209,-0.68094,-0.00033,-0.00041,0.00014
1788794211.569294,0.00185,0.02317,-0.69018,-0.00012,-0.00034,9e-05
1788794211.589606,0.00194,0.0253,-0.70725,-0.0003,-0.00027,0.00019
1788794211.608902,-0.0019,0.0294,-0.67302,-0.00028,-0.0002,-8e-05
1788794211.629231,0.00365,0.02865,-0.67805,-0.00042,-0.00047,6e-05
1788794211.649634,0.00231,0.02832,-0.67944,-0.00045,-0.00041,1e-05
1788794211.668947,-0.00154,0.03232,-0.67849,-0.00043,-0.00032,8e-05
1788794211.689425,0.00173,0.02895,-0.70498,-0.00018,-0.00016,7e-05
1788794211.708653,0.00245,0.02995,-0.68997,-0.00024,-0.00038,-8e-05
1788794211.728988,-0.0028,0.02755,-0.69772,-0.00037,-0.00036,4e-05
1788794211.749301,-0.00011,0.02529,-0.69936,-0.00042,-0.00044,7e-05
1788794211.768620,0.0,0.02624,-0.68989,-0.0003,-0.00032,-9e-05
1788794211.788971,0.0015,0.02381,-0.70924,-0.00024,-0.00051,7e-05
1788794211.809372,-0.0046,0.02609,-0.7072,-0.00035,-0.00029,4e-05
1788794211.828676,0.00319,0.02626,-0.73637,-0.00044,-0.00038,0.00024
