t,Fx,Fy,Fz,Tx,Ty,Tz
1788453669.292099,0.0083,0.00853,-0.21374,0.00031,0.00021,9e-05
1788453669.312507,0.00818,0.00495,-0.19267,-0.00011,-7e-05,1e-05
1788453669.332940,0.00456,0.00267,-0.235,0.0003,0.00034,0.0003
1788453669.352942,0.01017,0.00414,-0.20218,-6e-05,-0.00015,0.00019
1788453669.372593,0.00703,0.00074,-0.24538,0.00016,0.00019,0.00034
1788453669.393028,0.01299,0.00138,-0.19912,-0.00014,-0.00014,0.00026
1788453669.412772,0.00591,-0.00023,-0.22565,1e-05,-2e-05,0.00026
1788453669.432255,0.00894,0.00054,-0.21774,-0.0001,-5e-05,0.00018
1788453669.452660,0.0111,0.00668,-0.18979,-0.00016,-0.0001,0.00019
1788453669.473087,0.00852,-0.00202,-0.20043,-8e-05,-0.00019,0.00015
1788453669.492503,0.00826,0.00288,-0.22091,0.00023,5e-05,8e-05
1788453669.512883,0.0059,-0.00873,-0.26491,0.0004,-0.0001,3e-05
1788453669.532257,-0.00199,-0.02877,-0.35108,0.00047,-0.00043,0.0001
1788453669.552633,0.00557,-0.01345,-0.37146,0.00064,-4e-05,0.00027
1788453669.572998,-0.00036,-0.01041,-0.36178,0.00059,-0.00014,0.00021
1788453669.592326,0.00643,-0.01871,-0.336,0.00018,-0.00019,0.00039
1788453669.612680,0.00338,-0.02129,-0.35068,0.0005,-3e-05,0.00024
1788453669.633073,0.00498,-0.00667,-0.33252,0.00037,-8e-05,0.00014
1788453669.652386,0.00644,-0.01271,-0.32472,0.00012,-0.00019,0.00025
1788453669.672736,0.00476,-0.00458,-0.33438,0.00027,-0.00017,0.00037
1788453669.693060,0.00728,-0.01439,-0.31484,0.00021,-0.00022,0.00022
1788453669.712333,0.00624,-0.01243,-0.33711,0.00037,-8e-05,0.00029
1788453669.732678,0.00515,-0.00386,-0.32153,0.00027,-7e-05,0.0002
1788453669.752981,0.00502,-0.00725,-0.29137,0.0001,-0.00016,7e-05
1788453669.772243,0.00547,-0.00963,-0.2936,0.00012,-0.00031,2e-05
1788453669.792633,0.00977,-0.00723,-0.26901,0.0001,-7e-05,3e-05
1788453669.813003,0.01282,-0.00832,-0.29674,0.0003,7e-05,0.00019
1788453669.832329,0.01093,-0.00094,-0.26506,0.00012,-5e-05,4e-05
1788453669.852695,0.01073,-0.00115,-0.26948,0.00027,0.0,0.0001
1788453669.873028,0.01243,-0.00364,-0.27143,-8e-05,-0.00013,0.0002
1788453669.892310,0.01299,-0.00128,-0.26048,6e-05,-7e-05,0.00021
1788453669.912666,0.00894,-0.00173,-0.26111,-0.00018,-0.0,0.00018
1788453669.933028,0.01301,-4e-05,-0.27527,-0.0,-2e-05,0.00028
1788453669.952370,0.0072,0.00503,-0.25102,-1e-05,0.0001,0.00028
1788453669.972738,0.01065,0.00307,-0.26111,-0.00021,-4e-05,0.00032
1788453669.993032,0.01282,0.00272,-0.26932,-0.00012,-3e-05,0.00034
1788453670.012488,0.01525,0.01162,-0.2546,-0.00025,-0.00014,0.0003
1788453670.032804,0.01681,0.0088,-0.25273,-7e-05,-0.0,0.00027
1788453670.052194,0.01171,0.00062,-0.25373,-0.00011,1e-05,0.00016
1788453670.072584,0.01311,0.00412,-0.2387,-6e-05,-9e-05,0.0001
