sensor,axis,width_px,median,min,max
medium_3mm_r1,Tz,1920,0.0002575389517005,0.0002493177889846,0.0002771709405351
medium_3mm_r2,Tx,8,0.0017339917831122,0.0016486491076648,0.0021825917065143
medium_3mm_r2,Tx,16,0.0013752389932051,0.0012019034475088,0.0014401259832084
medium_3mm_r2,Tx,32,0.0013838335871696,0.0013755325926467,0.0014128640759736
medium_3mm_r2,Tx,48,0.0011866951826959,0.0010809935629367,0.0014243605546653
medium_3mm_r2,Tx,80,0.001041448675096,0.0009854801464825,0.0010673700598999
medium_3mm_r2,Tx,160,0.0013844800414517,0.0010495787719264,0.0017641835147514
medium_3mm_r2,Tx,320,0.0012887500924989,0.0009502326138317,0.0012969626113772
medium_3mm_r2,Tx,426,0.0011486287694424,0.00106993294321,0.0011784032685682
medium_3mm_r2,Tx,640,0.0012189201079308,0.0010693641379475,0.0012273309985175
medium_3mm_r2,Tx,854,0.0012140730395913,0.0010508962441235,0.0012189380358904
medium_3mm_r2,Tx,1280,0.0010659792460501,0.0010407587978988,0.001092349528335
medium_3mm_r2,Tx,1920,0.0010226771701127,0.0010213977657258,0.0010245363228023
medium_3mm_r2,Ty,8,0.0015290641458705,0.0014509537722915,0.0020335828885436
medium_3mm_r2,Ty,16,0.0008242275216616,0.0007994385086931,0.0009599410695955
medium_3mm_r2,Ty,32,0.0010348223149776,0.000685847713612,0.0010971848387271
medium_3mm_r2,Ty,48,0.0006979124736972,0.0006774641224183,0.0008924951544031
medium_3mm_r2,Ty,80,0.0007431741105392,0.0006565324729308,0.0009453909588046
medium_3mm_r2,Ty,160,0.0007283513550646,0.0006163970101624,0.0008011629106476
medium_3mm_r2,Ty,320,0.000749240105506,0.0006311014294624,0.0008168835774995
medium_3mm_r2,Ty,426,0.0006306134164333,0.0006142319762147,0.0007085939287208
medium_3mm_r2,Ty,640,0.0006217238260433,0.0005730761331506,0.0006535814027301
medium_3mm_r2,Ty,854,0.0006997050368227,0.000667315965984,0.0007664720760658
medium_3mm_r2,Ty,1280,0.0006640421925112,0.0006379495607689,0.0007420958718284
medium_3mm_r2,Ty,1920,0.0007065293029882,0.0005626762867905,0.0007121743983589
medium_3mm_r2,Tz,8,0.0001623940770514,0.0001483748346799,0.0001696649269433
medium_3mm_r2,Tz,16,0.0001398392050759,0.0001340397284366,0.0001421835913788
medium_3mm_r2,Tz,32,0.0001387138618156,0.0001352867111563,0.0001390925608575
medium_3mm_r2,Tz,48,0.0001592371991137,0.0001485664106439,0.0001604889257578
medium_3mm_r2,Tz,80,0.0001766375935403,0.0001651537022553,0.0001915132743306
medium_3mm_r2,Tz,160,0.0001968712167581,0.0001823310594772,0.0002081305283354
medium_3mm_r2,Tz,320,0.0001792063558241,0.000161031508469,0.0001922154478961
medium_3mm_r2,Tz,426,0.0001670423080213,0.0001660524576436,0.0001748959184624
medium_3mm_r2,Tz,640,0.0001668963959673,0.0001609323517186,0.000174873668584
