principle,unit,probe,centre_gap_mm,edge_gap_mm,hardness,thickness_mm,rep,depth_mm,dip,dip_sd,imprint_lvl,symmetry,verdict,mtf,verdict_mtf
9DTact,medium_2mm_r2,pair025,1.25,0.25,medium,2,2,0.3,0.121,0.031,9.54,0.91,미분해,0.064,미분해
9DTact,medium_3mm_r1,pair025,1.25,0.25,medium,3,1,0.1,0.442,0.146,1.06,0.58,신호부족,0.284,신호부족
9DTact,medium_3mm_r1,pair025,1.25,0.25,medium,3,1,0.2,0.093,0.155,1.3,0.44,신호부족,0.049,신호부족
9DTact,medium_3mm_r1,pair025,1.25,0.25,medium,3,1,0.3,0.018,0.098,2.45,0.55,신호부족,0.009,신호부족
9DTact,medium_3mm_r2,pair025,1.25,0.25,medium,3,2,0.1,0.698,0.089,1.67,1.0,신호부족,0.536,신호부족
9DTact,medium_3mm_r2,pair025,1.25,0.25,medium,3,2,0.2,0.423,0.08,2.48,0.62,신호부족,0.268,신호부족
9DTact,medium_3mm_r2,pair025,1.25,0.25,medium,3,2,0.3,0.084,0.073,3.62,0.74,미분해,0.044,미분해
9DTact,hard_1mm_r1,pair025,1.25,0.25,hard,1,1,0.1,0.294,0.079,2.65,0.55,분해,0.172,미분해
9DTact,hard_1mm_r2,pair025,1.25,0.25,hard,1,2,0.1,0.689,0.142,0.97,0.77,신호부족,0.525,신호부족
9DTact,hard_1mm_r2,pair025,1.25,0.25,hard,1,2,0.2,0.241,0.132,1.43,0.45,신호부족,0.137,신호부족
9DTact,hard_1mm_r2,pair025,1.25,0.25,hard,1,2,0.3,0.069,0.061,4.03,0.76,미분해,0.036,미분해
9DTact,hard_2mm_r1,pair025,1.25,0.25,hard,2,1,0.1,0.361,0.077,2.76,0.63,분해,0.22,미분해
9DTact,hard_2mm_r1,pair025,1.25,0.25,hard,2,1,0.2,0.386,0.056,4.5,0.75,분해,0.24,미분해
9DTact,hard_2mm_r1,pair025,1.25,0.25,hard,2,1,0.3,0.112,0.055,5.5,0.77,미분해,0.059,미분해
9DTact,hard_2mm_r2,pair025,1.25,0.25,hard,2,2,0.1,0.568,0.129,1.72,0.41,신호부족,0.397,신호부족
9DTact,hard_2mm_r2,pair025,1.25,0.25,hard,2,2,0.2,0.048,0.053,5.15,0.88,미분해,0.025,미분해
9DTact,hard_2mm_r2,pair025,1.25,0.25,hard,2,2,0.3,0.14,0.042,8.17,0.97,미분해,0.076,미분해
9DTact,hard_3mm_r1,pair025,1.25,0.25,hard,3,1,0.1,0.449,0.098,2.28,0.64,신호부족,0.289,신호부족
9DTact,hard_3mm_r1,pair025,1.25,0.25,hard,3,1,0.2,0.108,0.103,2.88,0.54,미분해,0.057,미분해
9DTact,hard_3mm_r2,pair025,1.25,0.25,hard,3,2,0.1,0.546,0.135,1.47,0.62,신호부족,0.375,신호부족
9DTact,hard_3mm_r2,pair025,1.25,0.25,hard,3,2,0.2,0.468,0.102,1.95,0.58,신호부족,0.306,신호부족
9DTact,hard_3mm_r2,pair025,1.25,0.25,hard,3,2,0.3,0.213,0.091,2.71,0.55,미분해,0.119,미분해
9DTact,soft_1mm_r1,pair050,1.5,0.5,soft,1,1,0.1,0.106,0.078,2.18,0.62,신호부족,0.056,신호부족
9DTact,soft_1mm_r1,pair050,1.5,0.5,soft,1,1,0.2,0.222,0.042,4.94,0.9,미분해,0.125,미분해
9DTact,soft_1mm_r1,pair050,1.5,0.5,soft,1,1,0.3,0.269,0.03,6.87,0.95,분해,0.155,미분해
9DTact,soft_1mm_r2,pair050,1.5,0.5,soft,1,2,0.1,0.32,0.12,1.64,0.94,신호부족,0.191,신호부족
9DTact,soft_1mm_r2,pair050,1.5,0.5,soft,1,2,0.2,0.611,0.107,2.05,0.72,신호부족,0.44,신호부족
9DTact,soft_1mm_r2,pair050,1.5,0.5,soft,1,2,0.3,0.03,0.088,2.74,0.72,미분해,0.015,미분해
9DTact,soft_2mm_r1,pair050,1.5,0.5,soft,2,1,0.1,0.61,0.096,2.16,0.78,신호부족,0.439,신호부족
9DTact,soft_2mm_r1,pair050,1.5,0.5,soft,2,1,0.2,0.083,0.109,2.91,0.63,미분해,0.043,미분해
9DTact,soft_2mm_r1,pair050,1.5,0.5,soft,2,1,0.3,0.167,0.045,6.49,0.86,미분해,0.091,미분해
9DTact,soft_2mm_r2,pair050,1.5,0.5,soft,2,2,0.1,0.259,0.058,6.33,0.89,미분해,0.149,미분해
9DTact,soft_2mm_r2,pair050,1.5,0.5,soft,2,2,0.2,0.141,0.039,9.0,0.94,미분해,0.076,미분해
9DTact,soft_2mm_r2,pair050,1.5,0.5,soft,2,2,0.3,0.143,0.038,10.76,0.91,미분해,0.077,미분해
9DTact,soft_3mm_r1,pair050,1.5,0.5,soft,3,1,0.1,0.745,0.127,1.07,0.77,신호부족,0.593,신호부족
9DTact,soft_3mm_r1,pair050,1.5,0.5,soft,3,1,0.2,0.024,0.169,1.23,0.45,신호부족,0.012,신호부족
9DTact,soft_3mm_r2,pair050,1.5,0.5,soft,3,2,0.1,0.408,0.129,1.35,0.51,신호부족,0.256,신호부족
9DTact,soft_3mm_r2,pair050,1.5,0.5,soft,3,2,0.2,0.143,0.09,2.79,0.62,미분해,0.077,미분해
9DTact,soft_3mm_r2,pair050,1.5,0.5,soft,3,2,0.3,0.256,0.051,5.46,0.87,미분해,0.147,미분해
9DTact,medium_1mm_r1,pair050,1.5,0.5,medium,1,1,0.1,0.31,0.072,3.7,0.71,분해,0.183,미분해
9DTact,medium_1mm_r2,pair050,1.5,0.5,medium,1,2,0.2,0.179,0.106,2.11,0.33,신호부족,0.098,신호부족
9DTact,medium_1mm_r2,pair050,1.5,0.5,medium,1,2,0.3,0.361,0.139,1.68,0.57,신호부족,0.221,신호부족
9DTact,medium_2mm_r2,pair050,1.5,0.5,medium,2,2,0.1,0.22,0.059,4.82,0.82,미분해,0.123,미분해
