unit,probe,width_px,depth_mm,dip,dip_sd,imprint_lvl,mtf,verdict,density_px_per_mm2
medium_3mm_r1,pair050,1920,0.2,0.2972976408956989,0.12613463746437645,1.415905237197876,0.1746034116333115,신호부족,6768.624440645542
medium_3mm_r1,pair050,1920,0.3,-0.01896862834408153,0.08423925665306521,2.3178048133850098,-0.009395207076416678,신호부족,6768.624440645542
medium_3mm_r1,pair050,1280,0.1,0.27453152830717886,0.17336126790975032,0.7852289080619812,0.15910550254090802,신호부족,3008.2775291757966
medium_3mm_r1,pair050,1280,0.2,0.41352227633298944,0.07306340240847184,2.166049003601074,0.26065432256884596,신호부족,3008.2775291757966
medium_3mm_r1,pair050,1280,0.3,0.14574133614892837,0.05380997249071575,3.1215648651123047,0.07859816917141493,미분해,3008.2775291757966
medium_3mm_r1,pair050,854,0.1,0.3449597866212679,0.12802567268978438,0.7957314848899841,0.20842985193516195,신호부족,1339.1021328542329
medium_3mm_r1,pair050,854,0.2,0.23731876954546027,0.07102632973098413,1.9001296758651733,0.13463510329900277,신호부족,1339.1021328542329
medium_3mm_r1,pair050,854,0.3,0.3320870107936389,0.04186798298574718,3.4980051517486572,0.1991033183041851,분해,1339.1021328542329
medium_3mm_r1,pair050,640,0.1,1.0,0.01686550255942854,0.787034273147583,1.0,신호부족,752.0693822939492
medium_3mm_r1,pair050,640,0.2,0.08460162333833166,0.06150622462315948,1.8102964162826538,0.044169204886652914,신호부족,752.0693822939492
